,,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,Dorris, 359, 79, 175, 30, 0, 2, 0, 4, 0, 69
,Dunsmuir, 974, 392, 265, 54, 14, 28, 5, 6, 1, 209
,Etna, 420, 102, 209, 25, 2, 1, 0, 3, 0, 78
,Fort Jones, 410, 93, 198, 21, 3, 5, 2, 2, 0, 86
,Montague, 800, 154, 415, 62, 3, 14, 3, 6, 2, 141
,Mt. Shasta," 2,264", 979, 617, 110, 25, 29, 12, 13, 4, 475
,Tulelake, 262, 74, 95, 17, 2, 3, 3, 4, 0, 64
,Weed," 1,303", 457, 389, 95, 9, 26, 12, 12, 0, 303
,Yreka," 4,428"," 1,103"," 1,990", 326, 21, 87, 30, 45, 2, 824
,,,,,,,,,,,
,Unincorporated Area," 16,517"," 4,397"," 7,581", 974, 93, 263, 90, 118, 14," 2,987"
Siskiyou Totals,," 27,737"," 7,830"," 11,934"," 1,714", 172, 458, 157, 213, 23," 5,236"
     Percent,,,28.23%,43.03%,6.18%,0.62%,1.65%,0.57%,0.77%,0.08%,18.88%
,,,,,,,,,,,
Solano,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 48,555"," 28,395"," 6,631"," 1,644", 247, 406, 435, 123, 252," 10,422"
,County Supervisorial 2," 56,747"," 30,185"," 10,800"," 2,406", 299, 606, 342, 128, 289," 11,692"
,County Supervisorial 3," 48,026"," 23,801"," 9,919"," 2,063", 194, 525, 360, 90, 255," 10,819"
,County Supervisorial 4," 54,700"," 20,517"," 18,442"," 2,754", 222, 843, 295, 92, 271," 11,264"
,County Supervisorial 5," 55,205"," 24,689"," 15,453"," 2,465", 216, 704, 271, 120, 240," 11,047"
,,,,,,,,,,,
,US Congressional 4," 84,322"," 32,697"," 28,031"," 4,221", 329," 1,268", 419, 159, 387," 16,811"
,US Congressional 7, 70, 26, 22, 5, 2, 0, 0, 1, 0, 14
,US Congressional 8," 178,841"," 94,864"," 33,192"," 7,106", 847," 1,816"," 1,284", 393, 920," 38,419"
,,,,,,,,,,,
,State Senate 3," 263,233"," 127,587"," 61,245"," 11,332"," 1,178"," 3,084"," 1,703", 553," 1,307"," 55,244"
,,,,,,,,,,,
,State Assembly 11," 263,233"," 127,587"," 61,245"," 11,332"," 1,178"," 3,084"," 1,703", 553," 1,307"," 55,244"
,,,,,,,,,,,
,State Board of Equalization 1," 263,233"," 127,587"," 61,245"," 11,332"," 1,178"," 3,084"," 1,703", 553," 1,307"," 55,244"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Benicia," 20,128"," 10,527"," 4,265", 932, 119, 245, 71, 24, 94," 3,851"
,Dixon," 12,809"," 4,880"," 4,309", 592, 50, 184, 63, 23, 59," 2,649"
,Fairfield," 65,350"," 32,489"," 13,882"," 2,708", 273, 680, 434, 129, 315," 14,440"
,Rio Vista," 7,864"," 3,716"," 2,387", 434, 20, 69, 26, 10, 33," 1,169"
,Suisun City," 16,927"," 8,721"," 3,123", 685, 69, 191, 133, 34, 93," 3,878"
,Vacaville," 59,265"," 23,152"," 18,920"," 2,974", 238, 934, 315, 122, 281," 12,329"
,Vallejo," 68,672"," 39,984"," 9,511"," 2,432", 359, 598, 597, 184, 373," 14,634"
,,,,,,,,,,,
,Unincorporated Area," 12,218"," 4,118"," 4,848", 575, 50, 183, 64, 27, 59," 2,294"
Solano Totals,," 263,233"," 127,587"," 61,245"," 11,332"," 1,178"," 3,084"," 1,703", 553," 1,307"," 55,244"
     Percent,,,48.47%,23.27%,4.30%,0.45%,1.17%,0.65%,0.21%,0.50%,20.99%
,,,,,,,,,,,
Sonoma,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 65,511"," 38,348"," 12,024"," 2,328", 408, 708, 217, 267, 559," 10,652"
,County Supervisorial 2," 64,066"," 36,004"," 12,263"," 2,453", 468, 743, 276, 291, 507," 11,061"
,County Supervisorial 3," 50,632"," 28,320"," 8,400"," 1,833", 434, 631, 411, 346, 444," 9,813"
,County Supervisorial 4," 59,419"," 32,146"," 12,808"," 2,315", 364, 755, 268, 305, 401," 10,057"
,County Supervisorial 5," 62,213"," 36,872"," 9,915"," 2,100", 699, 743, 314, 336, 824," 10,410"
,,,,,,,,,,,
,US Congressional 2," 150,615"," 85,372"," 28,317"," 5,589"," 1,269"," 1,785", 696, 729," 1,442"," 25,416"
,US Congressional 4," 151,226"," 86,318"," 27,093"," 5,440"," 1,104"," 1,795", 790, 816," 1,293"," 26,577"
,,,,,,,,,,,
,State Senate 2," 245,126"," 139,753"," 44,673"," 8,870"," 1,974"," 2,908"," 1,231"," 1,251"," 2,280"," 42,186"
,State Senate 3," 56,715"," 31,937"," 10,737"," 2,159", 399, 672, 255, 294, 455," 9,807"
,,,,,,,,,,,
,State Assembly 2," 149,546"," 85,371"," 27,418"," 5,361"," 1,293"," 1,859", 754, 745," 1,437"," 25,308"
,State Assembly 4," 18,138"," 10,868"," 2,993", 657, 121, 170, 62, 88, 137," 3,042"
,State Assembly 12," 134,157"," 75,451"," 24,999"," 5,011", 959," 1,551", 670, 712," 1,161"," 23,643"
,,,,,,,,,,,
,State Board of Equalization 2," 301,841"," 171,690"," 55,410"," 11,029"," 2,373"," 3,580"," 1,486"," 1,545"," 2,735"," 51,993"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Cloverdale," 5,332"," 2,752"," 1,250", 212, 42, 80, 22, 37, 29, 908
,Cotati," 4,895"," 2,789", 861, 211, 44, 71, 18, 28, 38, 835
,Healdsburg," 7,240"," 4,426"," 1,156", 222, 49, 89, 27, 35, 48," 1,188"
,Petaluma," 39,366"," 23,050"," 6,733"," 1,454", 265, 413, 157, 164, 267," 6,863"
,Rohnert Park," 26,288"," 14,093"," 5,349"," 1,010", 181, 351, 149, 153, 210," 4,792"
,Santa Rosa," 101,946"," 58,995"," 17,168"," 3,582", 734," 1,218", 597, 571, 889," 18,192"
,Sebastopol," 5,557"," 3,787", 514, 154, 80, 46, 23, 13, 117, 823
,Sonoma," 7,527"," 4,472"," 1,261", 290, 44, 73, 10, 35, 55," 1,287"
,Windsor," 16,763"," 8,587"," 3,939", 707, 80, 207, 77, 94, 97," 2,975"
,,,,,,,,,,,
,Unincorporated Area," 86,927"," 48,739"," 17,179"," 3,187", 854," 1,032", 406, 415, 985," 14,130"
Sonoma Totals,," 301,841"," 171,690"," 55,410"," 11,029"," 2,373"," 3,580"," 1,486"," 1,545"," 2,735"," 51,993"
     Percent,,,56.88%,18.36%,3.65%,0.79%,1.19%,0.49%,0.51%,0.91%,17.23%
,,,,,,,,,,,
Stanislaus,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 64,627"," 20,893"," 27,065"," 3,125", 182, 856, 287, 260, 497," 11,462"
,County Supervisorial 2," 58,912"," 18,894"," 24,818"," 2,560", 202, 727, 311, 301, 448," 10,651"
,County Supervisorial 3," 53,817"," 21,797"," 16,954"," 2,352", 174, 637, 355, 309, 422," 10,817"
,County Supervisorial 4," 56,578"," 22,568"," 18,625"," 2,598", 244, 687, 442, 324, 457," 10,633"
,County Supervisorial 5," 53,234"," 24,228"," 13,867"," 2,118", 199, 564, 493, 371, 419," 10,975"
,,,,,,,,,,,
,US Congressional 5," 187,440"," 64,829"," 73,609"," 8,728", 619," 2,392", 966, 859," 1,450"," 33,988"
,US Congressional 9," 1,130", 197, 701, 48, 2, 27, 6, 5, 6, 138
,US Congressional 13," 98,598"," 43,354"," 27,019"," 3,977", 380," 1,052", 916, 701, 787," 20,412"
,,,,,,,,,,,
,State Senate 4," 287,168"," 108,380"," 101,329"," 12,753"," 1,001"," 3,471"," 1,888"," 1,565"," 2,243"," 54,538"
,,,,,,,,,,,
,State Assembly 9," 59,416"," 17,791"," 26,534"," 2,817", 159, 780, 254, 294, 437," 10,350"
,State Assembly 22," 227,752"," 90,589"," 74,795"," 9,936", 842," 2,691"," 1,634"," 1,271"," 1,806"," 44,188"
,,,,,,,,,,,
,State Board of Equalization 1," 287,168"," 108,380"," 101,329"," 12,753"," 1,001"," 3,471"," 1,888"," 1,565"," 2,243"," 54,538"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Ceres," 23,558"," 10,790"," 6,255", 946, 72, 247, 192, 145, 176," 4,735"
,Hughson," 4,414"," 1,287"," 2,079", 204, 8, 62, 12, 27, 28, 707
,Modesto," 115,320"," 46,277"," 37,422"," 5,265", 441," 1,422", 786, 581, 944," 22,182"
,Newman," 5,673"," 2,455"," 1,597", 236, 24, 53, 50, 56, 52," 1,150"
,Oakdale," 13,662"," 3,490"," 6,633", 784, 32, 222, 47, 49, 105," 2,300"
,Patterson," 12,319"," 6,162"," 2,599", 473, 54, 140, 112, 74, 94," 2,611"
,Riverbank," 13,312"," 5,075"," 4,471", 605, 38, 152, 78, 83, 113," 2,697"
,Turlock," 38,789"," 13,614"," 14,786"," 1,662", 144, 480, 204, 204, 304," 7,391"
,Waterford," 4,605"," 1,319"," 2,019", 207, 15, 56, 26, 24, 38, 901
,,,,,,,,,,,
,Unincorporated Area," 55,516"," 17,911"," 23,468"," 2,371", 173, 637, 381, 322, 389," 9,864"
Stanislaus Totals,," 287,168"," 108,380"," 101,329"," 12,753"," 1,001"," 3,471"," 1,888"," 1,565"," 2,243"," 54,538"
     Percent,,,37.74%,35.29%,4.44%,0.35%,1.21%,0.66%,0.54%,0.78%,18.99%
,,,,,,,,,,,
Sutter,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 9,796"," 3,284"," 3,768", 399, 31, 120, 69, 45, 736," 1,344"
,County Supervisorial 2," 8,106"," 2,596"," 2,884", 428, 46, 149, 70, 47, 677," 1,209"
,County Supervisorial 3," 12,459"," 3,079"," 6,317", 576, 25, 166, 43, 70, 764," 1,419"
,County Supervisorial 4," 11,460"," 3,956"," 4,024", 428, 36, 127, 68, 105, 915," 1,801"
,County Supervisorial 5," 11,192"," 3,100"," 4,963", 533, 23, 173, 43, 49, 866," 1,442"
,,,,,,,,,,,
,US Congressional 1," 53,013"," 16,015"," 21,956"," 2,364", 161, 735, 293, 316," 3,958"," 7,215"
,,,,,,,,,,,
,State Senate 1," 53,013"," 16,015"," 21,956"," 2,364", 161, 735, 293, 316," 3,958"," 7,215"
,,,,,,,,,,,
,State Assembly 3," 53,013"," 16,015"," 21,956"," 2,364", 161, 735, 293, 316," 3,958"," 7,215"
,,,,,,,,,,,
,State Board of Equalization 1," 53,013"," 16,015"," 21,956"," 2,364", 161, 735, 293, 316," 3,958"," 7,215"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Live Oak," 4,366"," 1,666"," 1,416", 148, 20, 52, 33, 18, 344, 669
,Yuba City," 36,179"," 11,808"," 13,617"," 1,642", 105, 486, 214, 260," 2,838"," 5,209"
,,,,,,,,,,,
,Unincorporated Area," 12,468"," 2,541"," 6,923", 574, 36, 197, 46, 38, 776," 1,337"
Sutter Totals,," 53,013"," 16,015"," 21,956"," 2,364", 161, 735, 293, 316," 3,958"," 7,215"
     Percent,,,30.21%,41.42%,4.46%,0.30%,1.39%,0.55%,0.60%,7.47%,13.61%
,,,,,,,,,,,
Tehama,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 8,561"," 1,737"," 4,546", 518, 29, 138, 39, 39, 26," 1,489"
,County Supervisorial 2," 7,094"," 1,517"," 3,435", 427, 19, 121, 36, 35, 37," 1,467"
,County Supervisorial 3," 8,287"," 1,782"," 4,269", 542, 27, 126, 26, 36, 27," 1,452"
,County Supervisorial 4," 6,110"," 1,660"," 2,731", 299, 13, 73, 43, 21, 17," 1,253"
,County Supervisorial 5," 6,601"," 1,716"," 3,049", 370, 26, 101, 51, 27, 15," 1,246"
,,,,,,,,,,,
,US Congressional 1," 36,653"," 8,412"," 18,030"," 2,156", 114, 559, 195, 158, 122," 6,907"
,,,,,,,,,,,
,State Senate 1," 36,653"," 8,412"," 18,030"," 2,156", 114, 559, 195, 158, 122," 6,907"
,,,,,,,,,,,
,State Assembly 3," 36,653"," 8,412"," 18,030"," 2,156", 114, 559, 195, 158, 122," 6,907"
,,,,,,,,,,,
,State Board of Equalization 1," 36,653"," 8,412"," 18,030"," 2,156", 114, 559, 195, 158, 122," 6,907"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Corning," 3,300"," 1,024"," 1,219", 170, 9, 36, 31, 15, 4, 792
,Red Bluff," 7,723"," 1,935"," 3,096", 488, 29, 134, 48, 41, 42," 1,910"
,Tehama, 255, 87, 117, 13, 0, 2, 2, 1, 0, 33
,,,,,,,,,,,
,Unincorporated Area," 25,375"," 5,366"," 13,598"," 1,485", 76, 387, 114, 101, 76," 4,172"
Tehama Totals,," 36,653"," 8,412"," 18,030"," 2,156", 114, 559, 195, 158, 122," 6,907"
     Percent,,,22.95%,49.19%,5.88%,0.31%,1.53%,0.53%,0.43%,0.33%,18.84%
,,,,,,,,,,,
Trinity,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 2,017", 600, 868, 120, 22, 32, 8, 21, 13, 333
,County Supervisorial 2," 1,772", 492, 709, 109, 16, 41, 12, 9, 16, 368
,County Supervisorial 3," 1,650", 484, 591, 110, 19, 42, 22, 13, 16, 353
,County Supervisorial 4," 1,307", 478, 408, 66, 18, 19, 13, 2, 15, 288
,County Supervisorial 5, 509, 138, 215, 36, 6, 6, 1, 2, 2, 103
,,,,,,,,,,,
,US Congressional 2," 7,255"," 2,192"," 2,791", 441, 81, 140, 56, 47, 62," 1,445"
,,,,,,,,,,,
,State Senate 2," 7,255"," 2,192"," 2,791", 441, 81, 140, 56, 47, 62," 1,445"
,,,,,,,,,,,
,State Assembly 2," 7,255"," 2,192"," 2,791", 441, 81, 140, 56, 47, 62," 1,445"
,,,,,,,,,,,
,State Board of Equalization 2," 7,255"," 2,192"," 2,791", 441, 81, 140, 56, 47, 62," 1,445"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Unincorporated Area," 7,255"," 2,192"," 2,791", 441, 81, 140, 56, 47, 62," 1,445"
Trinity Totals,," 7,255"," 2,192"," 2,791", 441, 81, 140, 56, 47, 62," 1,445"
     Percent,,,30.21%,38.47%,6.08%,1.12%,1.93%,0.77%,0.65%,0.85%,19.92%
,,,,,,,,,,,
Tulare,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 38,632"," 13,103"," 12,964"," 1,770", 173, 444, 368, 443, 644," 8,723"
,County Supervisorial 2," 41,016"," 13,378"," 15,526"," 1,813", 128, 470, 327, 356, 331," 8,687"
,County Supervisorial 3," 54,537"," 15,509"," 24,245"," 2,661", 221, 778, 298, 421, 748," 9,656"
,County Supervisorial 4," 41,072"," 14,748"," 14,141"," 1,647", 120, 464, 318, 381, 464," 8,789"
,County Supervisorial 5," 37,943"," 12,330"," 13,738"," 1,810", 131, 447, 335, 418, 318," 8,416"
,,,,,,,,,,,
,US Congressional 20," 64,719"," 17,830"," 29,672"," 3,135", 237, 890, 363, 498, 801," 11,293"
,US Congressional 21," 75,579"," 25,591"," 26,937"," 3,301", 281, 916, 608, 735," 1,115"," 16,095"
,US Congressional 22," 72,902"," 25,647"," 24,005"," 3,265", 255, 797, 675, 786, 589," 16,883"
,,,,,,,,,,,
,State Senate 12," 92,915"," 25,611"," 42,322"," 4,517", 343," 1,299", 515, 734," 1,149"," 16,425"
,State Senate 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
,State Senate 16," 120,284"," 43,457"," 38,292"," 5,184", 430," 1,304"," 1,131"," 1,285"," 1,356"," 27,845"
,,,,,,,,,,,
,State Assembly 32," 84,061"," 23,432"," 37,703"," 4,138", 328," 1,173", 464, 680," 1,115"," 15,028"
,State Assembly 33," 129,139"," 45,636"," 42,911"," 5,563", 445," 1,430"," 1,182"," 1,339"," 1,390"," 29,243"
,,,,,,,,,,,
,State Board of Equalization 1," 213,200"," 69,068"," 80,614"," 9,701", 773," 2,603"," 1,646"," 2,019"," 2,505"," 44,271"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Dinuba," 10,194"," 4,243"," 2,867", 357, 31, 105, 83, 100, 95," 2,313"
,Exeter," 5,397"," 1,324"," 2,540", 283, 24, 84, 38, 49, 91, 964
,Farmersville," 4,028"," 1,569", 863, 146, 20, 42, 41, 60, 87," 1,200"
,Lindsay," 4,227"," 1,811", 899, 163, 25, 32, 50, 68, 36," 1,143"
,Porterville," 25,445"," 8,789"," 8,414"," 1,177", 90, 301, 225, 286, 224," 5,939"
,Tulare," 31,864"," 10,210"," 12,247"," 1,484", 98, 396, 252, 259, 260," 6,658"
,Visalia," 75,451"," 23,149"," 30,524"," 3,699", 325," 1,079", 501, 640," 1,174"," 14,360"
,Woodlake," 2,946"," 1,300", 654, 125, 7, 18, 22, 36, 63, 721
,,,,,,,,,,,
,Unincorporated Area," 53,648"," 16,673"," 21,606"," 2,267", 153, 546, 434, 521, 475," 10,973"
Tulare Totals,," 213,200"," 69,068"," 80,614"," 9,701", 773," 2,603"," 1,646"," 2,019"," 2,505"," 44,271"
     Percent,,,32.40%,37.81%,4.55%,0.36%,1.22%,0.77%,0.95%,1.17%,20.77%
,,,,,,,,,,,
Tuolumne,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 6,840"," 2,217"," 2,860", 366, 41, 119, 37, 1, 14," 1,185"
,County Supervisorial 2," 6,875"," 1,890"," 3,153", 391, 29, 157, 30, 1, 9," 1,215"
,County Supervisorial 3," 6,771"," 1,917"," 3,127", 400, 33, 157, 26, 1, 12," 1,098"
,County Supervisorial 4," 7,145"," 1,945"," 3,524", 422, 32, 113, 25, 0, 10," 1,074"
,County Supervisorial 5," 7,197"," 2,077"," 3,304", 427, 39, 113, 24, 0, 10," 1,203"
,,,,,,,,,,,
,US Congressional 5," 34,828"," 10,046"," 15,968"," 2,006", 174, 659, 142, 3, 55," 5,775"
,,,,,,,,,,,
,State Senate 4," 34,828"," 10,046"," 15,968"," 2,006", 174, 659, 142, 3, 55," 5,775"
,,,,,,,,,,,
,State Assembly 8," 34,828"," 10,046"," 15,968"," 2,006", 174, 659, 142, 3, 55," 5,775"
,,,,,,,,,,,
,State Board of Equalization 1," 34,828"," 10,046"," 15,968"," 2,006", 174, 659, 142, 3, 55," 5,775"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Sonora," 2,965"," 1,037"," 1,055", 175, 20, 60, 20, 0, 7, 591
,,,,,,,,,,,
,Unincorporated Area," 31,863"," 9,009"," 14,913"," 1,831", 154, 599, 122, 3, 48," 5,184"
Tuolumne Totals,," 34,828"," 10,046"," 15,968"," 2,006", 174, 659, 142, 3, 55," 5,775"
     Percent,,,28.84%,45.85%,5.76%,0.50%,1.89%,0.41%,0.01%,0.16%,16.58%
,,,,,,,,,,,
Ventura,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 108,052"," 50,525"," 27,863"," 4,604", 693," 1,328", 611, 380," 1,316"," 20,732"
,County Supervisorial 2," 125,037"," 48,403"," 42,500"," 5,500", 437," 1,496", 335, 382," 1,380"," 24,604"
,County Supervisorial 3," 92,066"," 42,471"," 23,835"," 3,504", 353," 1,011", 606, 438, 958," 18,890"
,County Supervisorial 4," 111,853"," 40,015"," 41,361"," 4,925", 429," 1,361", 483, 420," 1,144"," 21,715"
,County Supervisorial 5," 74,530"," 39,923"," 13,345"," 2,505", 340, 678, 690, 494, 783," 15,772"
,,,,,,,,,,,
,US Congressional 24," 89,028"," 41,267"," 23,455"," 3,845", 595," 1,129", 485, 295," 1,101"," 16,856"
,US Congressional 26," 421,006"," 179,452"," 124,986"," 17,138"," 1,653"," 4,734"," 2,233"," 1,813"," 4,467"," 84,530"
,US Congressional 32," 1,504", 618, 463, 55, 4, 11, 7, 6, 13, 327
,,,,,,,,,,,
,State Senate 21," 294,364"," 140,323"," 72,534"," 11,491"," 1,452"," 3,254"," 1,959"," 1,377"," 3,257"," 58,717"
,State Senate 27," 217,174"," 81,014"," 76,370"," 9,547", 800," 2,620", 766, 737," 2,324"," 42,996"
,,,,,,,,,,,
,State Assembly 38," 269,311"," 130,507"," 63,821"," 10,382"," 1,358"," 2,974"," 1,892"," 1,283"," 3,020"," 54,074"
,State Assembly 42," 240,723"," 90,212"," 84,620"," 10,601", 890," 2,889", 826, 825," 2,548"," 47,312"
,State Assembly 46," 1,504", 618, 463, 55, 4, 11, 7, 6, 13, 327
,,,,,,,,,,,
,State Board of Equalization 2," 511,538"," 221,337"," 148,904"," 21,038"," 2,252"," 5,874"," 2,725"," 2,114"," 5,581"," 101,713"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Camarillo," 48,265"," 18,479"," 16,875"," 2,189", 179, 579, 151, 178, 505," 9,130"
,Fillmore," 9,328"," 4,303"," 2,357", 345, 32, 93, 90, 55, 102," 1,951"
,Moorpark," 23,614"," 9,341"," 7,927"," 1,031", 85, 258, 92, 69, 225," 4,586"
,Ojai," 5,327"," 2,894"," 1,050", 201, 45, 54, 20, 20, 80, 963
,Oxnard," 96,478"," 52,199"," 16,929"," 3,143", 378, 824, 864, 604, 971," 20,566"
,Port Hueneme," 10,896"," 5,395"," 2,311", 412, 54, 119, 92, 56, 123," 2,334"
,San Buenaventura," 72,613"," 33,421"," 19,242"," 3,155", 445, 927, 396, 234, 870," 13,923"
,Santa Paula," 16,008"," 8,153"," 3,478", 546, 72, 164, 108, 73, 175," 3,239"
,Simi Valley," 83,357"," 28,902"," 31,657"," 3,693", 320," 1,040", 369, 330, 866," 16,180"
,Thousand Oaks," 86,198"," 33,480"," 28,626"," 3,798", 306," 1,016", 242, 259, 983," 17,488"
,,,,,,,,,,,
,Unincorporated Area," 59,454"," 24,770"," 18,452"," 2,525", 336, 800, 301, 236, 681," 11,353"
Ventura Totals,," 511,538"," 221,337"," 148,904"," 21,038"," 2,252"," 5,874"," 2,725"," 2,114"," 5,581"," 101,713"
     Percent,,,43.27%,29.11%,4.11%,0.44%,1.15%,0.53%,0.41%,1.09%,19.88%
,,,,,,,,,,,
Yolo,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 24,206"," 11,037"," 5,788"," 1,150", 129, 280, 161, 3, 68," 5,590"
,County Supervisorial 2," 19,354"," 11,578"," 2,738", 528, 174, 195, 82, 0, 35," 4,024"
,County Supervisorial 3," 25,994"," 11,441"," 7,087"," 1,211", 136, 310, 146, 1, 64," 5,598"
,County Supervisorial 4," 24,246"," 14,807"," 2,801", 652, 195, 211, 95, 0, 47," 5,438"
,County Supervisorial 5," 21,124"," 9,743"," 5,352", 900, 91, 275, 131, 1, 44," 4,587"
,,,,,,,,,,,
,US Congressional 4," 85,026"," 44,835"," 16,938"," 2,990", 562, 940, 390, 2, 165," 18,204"
,US Congressional 7," 29,898"," 13,771"," 6,828"," 1,451", 163, 331, 225, 3, 93," 7,033"
,,,,,,,,,,,
,State Senate 3," 114,924"," 58,606"," 23,766"," 4,441", 725," 1,271", 615, 5, 258," 25,237"
,,,,,,,,,,,
,State Assembly 4," 114,924"," 58,606"," 23,766"," 4,441", 725," 1,271", 615, 5, 258," 25,237"
,,,,,,,,,,,
,State Board of Equalization 1," 114,924"," 58,606"," 23,766"," 4,441", 725," 1,271", 615, 5, 258," 25,237"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Davis," 35,282"," 22,395"," 3,548", 858, 309, 291, 136, 0, 62," 7,683"
,West Sacramento," 29,802"," 13,757"," 6,766"," 1,448", 163, 330, 224, 3, 93," 7,018"
,Winters," 4,563"," 2,063"," 1,211", 192, 23, 63, 28, 0, 14, 969
,Woodland," 33,650"," 15,721"," 8,394"," 1,429", 157, 415, 180, 2, 64," 7,288"
,,,,,,,,,,,
,Unincorporated Area," 11,627"," 4,670"," 3,847", 514, 73, 172, 47, 0, 25," 2,279"
Yolo Totals,," 114,924"," 58,606"," 23,766"," 4,441", 725," 1,271", 615, 5, 258," 25,237"
     Percent,,,51.00%,20.68%,3.86%,0.63%,1.11%,0.54%,0.00%,0.22%,21.96%
,,,,,,,,,,,
Yuba,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 7,568"," 2,384"," 2,533", 405, 30, 109, 74, 73, 74," 1,886"
,County Supervisorial 2," 7,771"," 2,248"," 3,009", 461, 34, 108, 73, 57, 83," 1,698"
,County Supervisorial 3," 6,878"," 2,162"," 2,335", 396, 31, 98, 63, 69, 55," 1,669"
,County Supervisorial 4," 11,045"," 3,288"," 4,416", 631, 29, 209, 65, 55, 94," 2,258"
,County Supervisorial 5," 9,297"," 2,008"," 4,825", 557, 52, 152, 37, 44, 78," 1,544"
,,,,,,,,,,,
,US Congressional 1," 34,213"," 10,280"," 12,754"," 1,955", 128, 540, 284, 260, 315," 7,697"
,US Congressional 3," 8,346"," 1,810"," 4,364", 495, 48, 136, 28, 38, 69," 1,358"
,,,,,,,,,,,
,State Senate 1," 42,559"," 12,090"," 17,118"," 2,450", 176, 676, 312, 298, 384," 9,055"
,,,,,,,,,,,
,State Assembly 3," 42,559"," 12,090"," 17,118"," 2,450", 176, 676, 312, 298, 384," 9,055"
,,,,,,,,,,,
,State Board of Equalization 1," 42,559"," 12,090"," 17,118"," 2,450", 176, 676, 312, 298, 384," 9,055"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Marysville," 5,990"," 1,732"," 2,274", 361, 30, 83, 51, 44, 67," 1,348"
,Wheatland," 2,168", 487," 1,032", 146, 6, 49, 12, 10, 11, 415
,,,,,,,,,,,
,Unincorporated Area," 34,401"," 9,871"," 13,812"," 1,943", 140, 544, 249, 244, 306," 7,292"
Yuba Totals,," 42,559"," 12,090"," 17,118"," 2,450", 176, 676, 312, 298, 384," 9,055"
     Percent,,,28.41%,40.22%,5.76%,0.41%,1.59%,0.73%,0.70%,0.90%,21.28%
,,,,,,,,,,,
,,,,,,,,,,,
Incorporated Total,,"18,411,445","8,772,090","4,241,464","679,773","85,340","189,206","119,775","80,033","137,887","4,105,877"
Unincorporated Total,,"3,760,454","1,469,285","1,241,682","168,321","18,924","48,655","22,301","16,178","30,480","744,628"
State Total,,"22,171,899","10,241,375","5,483,146","848,094","104,264","237,861","142,076","96,211","168,367","4,850,505"
